,ScripCode,TradingSymbol,Description,InstrumentType
0,26000,Nifty 50,Nifty 50,0
1,26003,Nifty 500,Nifty 500,0
2,26008,Nifty IT,Nifty IT,0
3,26009,Nifty Bank,Nifty Bank,0
4,26010,Nifty Midcap 100,Nifty MIDCAP 100,0
5,26011,Nifty SMLCAP 100,NIFTY SMLCAP 100,0
6,26012,Nifty 100,Nifty 100,0
7,26013,Next 50,Nifty Next 50,0
8,26014,Midcap 50,Nifty Midcap 50,0
9,26017,INDIA VIX,India VIX,0
10,26018,Mid Liq 15,Nifty Mid Liq 15,0
11,26019,Nifty Infra,Nifty Infra,0
12,26020,50 PR 1x Inv,Nifty50 PR 1x Inv,0
13,26021,TOTAL MKT,NIFTY TOTAL MKT,0
14,26022,MICROCAP250,NIFTY MICROCAP250,0
15,26023,IND DIGITAL,NIFTY IND DIGITAL,0
16,26024,Nifty PSE,Nifty PSE,0
17,26025,Pvt Bank,Nifty Pvt Bank,0
18,26026,Quality 30,NIFTY100 Qualty30,0
19,26027,100 ESG,NIFTY100 ESG,0
20,26028,M150 QLTY50,NIFTY M150 QLTY50,0
21,26029,GS 10Yr Cln,Nifty GS 10Yr Cln,0
22,26030,GS 4 8Yr,Nifty GS 4 8Yr,0
23,26031,INDIA MFG,NIFTY INDIA MFG,0
24,26037,Fin Service,Nifty Fin Service,0
25,26041,Nifty CPSE,Nifty CPSE,0
26,26042,M150 Mom 50,NiftyM150Momntm50,0
27,26043,200 Alpha 30,Nifty200 Alpha 30,0
28,26044,Mid Sml Hlth,Nifty MidSml Hlth,0
29,26045,Multi Mfg,Nifty Multi Mfg,0
30,26046,Multi Infra,Nifty Multi Infra,0
31,26047,Tata 25 Cap,Nifty Tata 25 Cap,0
32,26048,Consumption,Nifty Consumption,0
33,26051,100 Liq 15,Nifty100 Liq 15,0
34,26052,Nifty Realty,Nifty Realty,0
35,26053,GS 8 13Yr,Nifty GS 8 13Yr,0
36,26054,Nifty Energy,Nifty Energy,0
37,26055,Nifty FMCG,Nifty FMCG,0
38,26056,Nifty MNC,Nifty MNC,0
39,26057,Nifty Pharma,Nifty Pharma,0
40,26058,GS 10Yr,Nifty GS 10Yr,0
41,26059,PSU Bank,Nifty PSU Bank,0
42,26060,Serv Sector,Nifty Serv Sector,0
43,26061,Nifty Auto,Nifty Auto,0
44,26062,Nifty Metal,Nifty Metal,0
45,26063,Nifty Media,Nifty Media,0
46,26065,Nifty 200,Nifty 200,0
47,26066,Commodities,Nifty Commodities,0
48,26067,200 Momen,Nifty200Momentm30,0
49,26068,100 ES,Nifty100ESGSecLdr,0
50,26069,GS 11 15Yr,Nifty GS 11 15Yr,0
51,26070,GS 15YrPlus,Nifty GS 15YrPlus,0
52,26071,GS Compsite,Nifty GS Compsite,0
53,26064,50 PR 2x Lev,Nifty50 PR 2x Lev,0
54,26074,MID SELECT,NIFTY MID SELECT,0
55,26075,50 TR 2x Lev,Nifty50 TR 2x Lev,0
56,26076,50 TR 1x Inv,Nifty50 TR 1x Inv,0
57,26078,Div Opps 50,Nifty Div Opps 50,0
58,26080,50 Div Point,Nifty50 Div Point,0
59,26081,50 Value 20,Nifty50 Value 20,0
60,26082,GrowSect 15,Nifty GrowSect 15,0
61,26083,50 EQL Wgt,NIFTY50 EQL Wgt,0
62,26084,100 EQL Wgt,NIFTY100 EQL Wgt,0
63,26085,100 LowVol30,NIFTY100 LowVol30,0
64,26086,Alpha 50,NIFTY Alpha 50,0
65,26087,Midcap 150,NIFTY MIDCAP 150,0
66,26088,Smallcap 50,NIFTY SMLCAP 50,0
67,26089,Smallcap 250,NIFTY SMLCAP 250,0
68,26091,MidSmallcap 400,NIFTY MIDSML 400,0
69,26092,200 Quality 30,NIFTY200 QUALTY30,0
70,26093,FinSrv25,Nifty FinSrv25 50,0
71,26094,Alpha LowVol,NIFTY AlphaLowVol,0
72,26095,CONSR DURBL,NIFTY CONSR DURBL,0
73,26096,HEALTHCARE,NIFTY HEALTHCARE,0
74,26097,LARGEMID250,NIFTY LARGEMID250,0
75,26098,500 MULTICAP,NIFTY500 MULTICAP,0
76,26099,OIL AND GAS,NIFTY OIL AND GAS,0
77,26032,BHARATBOND-APR25,BHARATBOND-APR25,0
78,26033,BHARATBOND-APR30,BHARATBOND-APR30,0
79,26034,BHARATBOND-APR31,BHARATBOND-APR31,0
80,26035,BHARATBOND-APR32,BHARATBOND-APR32,0
81,26036,BHARATBOND-APR33,BHARATBOND-APR33,0
82,26038,Ind Defence,Nifty Ind Defence,0
83,26039,Ind Tourism,Nifty Ind Tourism,0
84,26040,Capital Mkt,Nifty Capital Mkt,0
85,26049,500 Momen,Nifty500Momentm50,0
86,26050,MS 400 MQ 100,NiftyMS400 MQ 100,0
87,26079,Sml 250 mQ 100,NiftySml250MQ 100,0
88,26077,Top 10 EW,Nifty Top 10 EW,0
89,26100,AQL 30,NIFTY AQL 30,0
90,26101,AQLV 30,NIFTY AQLV 30,0
91,26102,NIFTY EV,NIFTY EV,0
92,26103,HIGHBETA 50,NIFTY HIGHBETA 50,0
93,26104,NEW CONSUMP,NIFTY NEW CONSUMP,0
94,26105,CORP MAATR,NIFTY CORP MAATR,0
95,26106,LOW VOL 50,NIFTY LOW VOL 50,0
96,26107,MOBILITY,NIFTY MOBILITY,0
97,26108,QLTY LV 30,NIFTY QLTY LV 30,0
98,26109,SML250 Q50,NIFTY SML250 Q50,0
99,26110,TOP 15 EW,NIFTY TOP 15 EW,0
